Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Liberty Park,520 E,520 East. Liberty Park west side loop. Road parking stall near the north end of the tennis courts,Salt Lake City,UT,84119,,801-535-6630,E,,Public,24 hours daily; maximum session time of 4 hours,,,,,,4,,,Non-Networked,,GPS,40.74686,-111.876,2024-11-06,37655,2024-11-06 19:40:58 UTC,LG,,,2010-12-15,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Utah Paper Box,920 S 700 W,,Salt Lake City,UT,84101,,,E,,Public,Gate is closed on weekends,,,,,,1,,,Non-Networked,,200-8,40.749027,-111.911084,2025-01-13,47407,2025-01-13 23:38:08 UTC,P,,,2012-03-20,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
ELEC,Tim Dahle Nissan,4528 S State St,,Murray,UT,84107,,801-262-5521  855-900-7584,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,40.67308,-111.88948,2024-02-12,47541,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tim Dahle Nissan,4528 S State St,,Murray,UT,84107,,801-262-5521  855-900-7584,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.67308,-111.88948,2024-02-12,47542,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Tim Dahle Nissan,955 N 400 E,,North Salt Lake,UT,84054,,801-693-7100  855-900-7584,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,40.8592,-111.90256,2024-02-12,47543,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tim Dahle Nissan,955 N 400 E,,North Salt Lake,UT,84054,,801-693-7100  855-900-7584,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.8592,-111.90256,2024-02-12,47544,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Wilson Nissan,328 N Main St,,Logan,UT,84321,,435-752-7335,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.737713,-111.834442,2024-02-12,49742,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Wilson Nissan,328 N Main St,,Logan,UT,84321,,435-752-7335,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.737713,-111.834442,2024-02-12,49743,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Ken Garff Nissan - Riverdale,615 W Riverdale Rd,,Riverdale,UT,84405,,,E,,Public - Call ahead,Dealership business hours; contact 801-781-4500 for more information,,,,,,3,1,,Non-Networked,,200-8,41.1801,-111.99415,2024-02-12,49744,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ken Garff Nissan - Riverdale,615 W Riverdale Rd,,Riverdale,UT,84405,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,41.1801,-111.99415,2024-02-12,49745,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Stephen Wade Auto Center,230 W Hilton Dr,,St. George,UT,84770,,435-628-5201,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,37.077643,-113.588156,2024-02-12,49746,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Stephen Wade Auto Center,230 W Hilton Dr,,St. George,UT,84770,,435-628-5201,E,,Private,,,,,,,1,,,Non-Networked,,200-9,37.077643,-113.588156,2024-02-12,49747,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Ken Garff Nissan - Salt Lake City,777 SW Temple,,Salt Lake City,UT,84101,,801-322-5663,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,40.75259,-111.893299,2024-02-12,49748,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ken Garff Nissan - Salt Lake City,777 SW Temple,,Salt Lake City,UT,84101,,801-322-5663,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.75259,-111.893299,2024-02-12,49749,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Ken Garff Nissan - Orem,285 W University Pkwy,,Orem,UT,84058,,,E,,Public - Call ahead,Dealership business hours; contact 801-225-1300 for more information,,,,,,1,1,,Non-Networked,,200-8,40.27333,-111.70208,2024-02-12,60341,2024-02-12 15:25:05 UTC,P,,,2014-01-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ken Garff Nissan - Orem,285 W University Pkwy,,Orem,UT,84058,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.27333,-111.70208,2024-02-12,60342,2024-02-12 15:25:05 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,ADOBE LEI SOUTH LOT 1,3900 N Adobe Way,South East Lot By Building,Lehi,UT,84043,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.435266,-111.891058,2025-01-17,61073,2025-01-17 01:09:07 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,CAPITOL EAST 2,Utah State Capitol East Lot,Surface lot on east side of Capitol,Salt Lake City,UT,84103,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.778169,-111.886953,2025-01-17,62821,2025-01-17 00:36:52 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Utah Division of Air Quality,195 N 1950 W,In front of building,Salt Lake City,UT,84114,,,E,,Private,Fleet use only,,,,,,4,,,Non-Networked,,200-8,40.774299,-111.947378,2022-01-10,63179,2024-11-26 17:04:36 UTC,SG,,,2012-03-12,,,,,J1772,US,,,,Privé,,private,,,STATE_GOV,,,,,,,,,,,,,,,,,,,,,,,,,MD,false,
ELEC,Zion National Park Lodge,1 Zion National Park Lodge,,Springdale,UT,84767,,,E,,Public,24 hours daily; for hotel guest use,,,,,,2,,,Non-Networked,,GPS,37.251,-112.9558,2025-01-13,64536,2025-01-13 23:38:08 UTC,FG,16,Department of the Interior,2014-11-05,,,,,J1772,US,,,,Public,,public,,DOI,HOTEL,,,,,,,Free for guest,,,,,,,,,,true,,,,,Zion National Park,,,,false,
ELEC,CITY CREEK WEST PARKING P3,68 S Main St West side by Main Street elevato,City Creek Center West Parking; Level P3; West side by Main Street elevator,Salt Lake City,UT,84101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.767618,-111.891558,2025-01-17,66364,2025-01-17 00:38:42 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Zion National Park - Zion Canyon Visitor Center,Highway 9,,Springdale,UT,84767,,,E,,Public,8am-7:30pm daily (seasonal hours vary); purchase a $5 code at the Zion Natural History Association bookstore at the Zion Canyon Visitor Center,A Cash Checks D M V,,,,,2,,,Non-Networked,,GPS,37.199965,-112.986096,2025-01-13,66460,2025-01-13 23:38:08 UTC,FG,16,Department of the Interior,2015-04-15,,,,,J1772,US,,,,Public,,public,,DOI,NATL_PARK,,,,,,,$5 per session,,,,,,,,,,false,,,,,Zion National Park,,,,false,
ELEC,Zion National Park - Headquarters Building,Highway 9,,Springdale,UT,84767,,,E,,Private,Fleet use only,,,,,,2,,,Non-Networked,,GPS,37.216389,-112.98078,2025-01-13,66473,2025-01-13 23:38:08 UTC,FG,16,Department of the Interior,2015-04-15,,,,,J1772,US,,,,Privé,,private,,DOI,NATL_PARK,,,,,,,,,,,,,,,,,,,,,,Zion National Park,,,,false,
ELEC,Zion National Park - Maintenance Yard,Highway 9,,Springdale,UT,84767,,,E,,Private,Fleet use only,,,,,,2,,,Non-Networked,,GPS,37.211715,-112.989644,2025-01-13,66474,2025-01-13 23:38:08 UTC,FG,16,Department of the Interior,2015-02-01,,,,,J1772,US,,,,Privé,,private,,DOI,NATL_PARK,,,,,,,,,,,,,,,,,,,,,,Zion National Park,,,,false,
ELEC,EVSLCC GFSB 1,4365 S 2200 W,Northwest corner of Gunderson Facilities Building,Salt Lake City,UT,84119,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.675935,-111.947545,2025-01-17,67843,2025-01-17 00:42:26 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,4-4 GRRC Electrical Charging Station,Highway 149,,Jensen,UT,84035,,,E,,Private,Fleet use only,,,,,,1,,,Non-Networked,,GPS,40.438174,-109.307043,2025-01-13,68565,2025-01-13 23:38:08 UTC,FG,16,Department of the Interior,2015-07-15,,,,,J1772,US,,,,Privé,,private,,DOI,FED_GOV,,,,,,,,,,,,,,,,SOLAR,,,,,,Dinosaur National Monument,,,,false,
