region,year,value,latitude,longitude
Australia,2011,49.0,-25.2744,133.7751
Australia,2012,250.0,-25.2744,133.7751
Australia,2013,290.0,-25.2744,133.7751
Australia,2014,1320.0,-25.2744,133.7751
Australia,2015,1760.0,-25.2744,133.7751
Australia,2016,1370.0,-25.2744,133.7751
Australia,2017,2300.0,-25.2744,133.7751
Australia,2018,3600.0,-25.2744,133.7751
Australia,2019,9200.0,-25.2744,133.7751
Australia,2020,6900.0,-25.2744,133.7751
Australia,2021,20444.0,-25.2744,133.7751
Australia,2022,38915.0,-25.2744,133.7751
Australia,2023,98006.0,-25.2744,133.7751
Austria,2013,650.0,47.5162,14.5501
Austria,2014,1706.0,47.5162,14.5501
Austria,2015,2804.0,47.5162,14.5501
Austria,2016,5000.0,47.5162,14.5501
Austria,2017,7102.0,47.5162,14.5501
Austria,2018,9107.0,47.5162,14.5501
Austria,2019,11519.0,47.5162,14.5501
Austria,2020,23614.0,47.5162,14.5501
Austria,2021,48014.0,47.5162,14.5501
Austria,2022,47014.0,47.5162,14.5501
Austria,2023,65009.0,47.5162,14.5501
Belgium,2010,63.0,50.8503,4.3517
Belgium,2011,322.0,50.8503,4.3517
Belgium,2012,1170.0,50.8503,4.3517
Belgium,2013,670.0,50.8503,4.3517
Belgium,2014,2053.0,50.8503,4.3517
Belgium,2015,3970.0,50.8503,4.3517
Belgium,2016,9348.0,50.8503,4.3517
Belgium,2017,14844.0,50.8503,4.3517
Belgium,2018,13490.0,50.8503,4.3517
Belgium,2019,18160.0,50.8503,4.3517
Belgium,2020,47561.0,50.8503,4.3517
Belgium,2021,71947.0,50.8503,4.3517
Belgium,2022,99016.0,50.8503,4.3517
Belgium,2023,196751.0,50.8503,4.3517
Brazil,2010,10.0,-14.235,-51.9253
Brazil,2011,8.0,-14.235,-51.9253
Brazil,2012,40.0,-14.235,-51.9253
Brazil,2013,84.0,-14.235,-51.9253
Brazil,2014,74.0,-14.235,-51.9253
Brazil,2015,92.0,-14.235,-51.9253
Brazil,2016,183.0,-14.235,-51.9253
Brazil,2017,451.0,-14.235,-51.9253
Brazil,2018,473.0,-14.235,-51.9253
Brazil,2019,2009.0,-14.235,-51.9253
Brazil,2020,2711.0,-14.235,-51.9253
Brazil,2021,14581.0,-14.235,-51.9253
Brazil,2022,20344.0,-14.235,-51.9253
Brazil,2023,53700.0,-14.235,-51.9253
Bulgaria,2015,21.0,42.7339,25.4858
Bulgaria,2016,13.0,42.7339,25.4858
Bulgaria,2017,106.0,42.7339,25.4858
Bulgaria,2018,216.0,42.7339,25.4858
Bulgaria,2019,236.0,42.7339,25.4858
Bulgaria,2020,181.0,42.7339,25.4858
Bulgaria,2021,550.0,42.7339,25.4858
Bulgaria,2022,1140.0,42.7339,25.4858
Bulgaria,2023,2160.0,42.7339,25.4858
Canada,2010,1.0,56.1304,-106.3468
Canada,2011,522.0,56.1304,-106.3468
Canada,2012,1923.0,56.1304,-106.3468
Canada,2013,3108.0,56.1304,-106.3468
Canada,2014,5106.0,56.1304,-106.3468
Canada,2015,6824.0,56.1304,-106.3468
Canada,2016,11605.0,56.1304,-106.3468
Canada,2017,16711.0,56.1304,-106.3468
Canada,2018,44026.0,56.1304,-106.3468
Canada,2019,51128.0,56.1304,-106.3468
Canada,2020,54086.0,56.1304,-106.3468
Canada,2021,92628.0,56.1304,-106.3468
Canada,2022,126157.0,56.1304,-106.3468
Canada,2023,187021.0,56.1304,-106.3468
Chile,2011,6.0,-35.6751,-71.543
Chile,2012,5.0,-35.6751,-71.543
Chile,2013,5.0,-35.6751,-71.543
Chile,2014,17.0,-35.6751,-71.543
Chile,2015,33.0,-35.6751,-71.543
Chile,2016,27.0,-35.6751,-71.543
Chile,2017,135.0,-35.6751,-71.543
Chile,2018,168.0,-35.6751,-71.543
Chile,2019,300.0,-35.6751,-71.543
Chile,2020,189.0,-35.6751,-71.543
Chile,2021,571.0,-35.6751,-71.543
Chile,2022,1501.0,-35.6751,-71.543
Chile,2023,920.0,-35.6751,-71.543
China,2010,2530.0,35.8617,104.1954
China,2011,5870.0,35.8617,104.1954
China,2012,12440.0,35.8617,104.1954
China,2013,20280.0,35.8617,104.1954
China,2014,83480.0,35.8617,104.1954
China,2015,299000.0,35.8617,104.1954
China,2016,479600.0,35.8617,104.1954
China,2017,807620.0,35.8617,104.1954
China,2018,1265490.0,35.8617,104.1954
China,2019,1183458.0,35.8617,104.1954
China,2020,3726984.0,35.8617,104.1954
China,2021,10153986.0,35.8617,104.1954
China,2022,18467730.0,35.8617,104.1954
China,2023,25246920.0,35.8617,104.1954
China,2025,23490160.0,35.8617,104.1954
China,2030,38588680.0,35.8617,104.1954
China,2035,49541400.0,35.8617,104.1954
Colombia,2015,42.0,4.5709,-74.2973
Colombia,2016,53.0,4.5709,-74.2973
Colombia,2017,148.0,4.5709,-74.2973
Colombia,2018,570.0,4.5709,-74.2973
Colombia,2019,1320.0,4.5709,-74.2973
Colombia,2020,950.0,4.5709,-74.2973
Colombia,2021,2540.0,4.5709,-74.2973
Colombia,2022,4300.0,4.5709,-74.2973
Colombia,2023,6100.0,4.5709,-74.2973
Costa Rica,2015,4.0,9.7489,-83.7534
Costa Rica,2016,12.0,9.7489,-83.7534
Costa Rica,2017,25.0,9.7489,-83.7534
Costa Rica,2018,200.0,9.7489,-83.7534
Costa Rica,2019,460.0,9.7489,-83.7534
Costa Rica,2020,630.0,9.7489,-83.7534
Costa Rica,2021,1000.0,9.7489,-83.7534
Costa Rica,2022,1600.0,9.7489,-83.7534
Costa Rica,2023,4900.0,9.7489,-83.7534
Croatia,2019,257.0,45.1,15.2
Croatia,2020,670.0,45.1,15.2
Croatia,2021,1800.0,45.1,15.2
Croatia,2022,2240.0,45.1,15.2
Croatia,2023,2590.0,45.1,15.2
Cyprus,2019,23.0,35.1264,33.4299
Cyprus,2020,125.0,35.1264,33.4299
Cyprus,2021,182.0,35.1264,33.4299
Cyprus,2022,630.0,35.1264,33.4299
Cyprus,2023,1300.0,35.1264,33.4299
Czech Republic,2015,300.0,49.8175,15.472
Czech Republic,2016,200.0,49.8175,15.472
Czech Republic,2017,390.0,49.8175,15.472
Czech Republic,2018,980.0,49.8175,15.472
Czech Republic,2019,1230.0,49.8175,15.472
Czech Republic,2020,5300.0,49.8175,15.472
Czech Republic,2021,6400.0,49.8175,15.472
Czech Republic,2022,7500.0,49.8175,15.472
Czech Republic,2023,12000.0,49.8175,15.472
Denmark,2010,10.0,56.2639,9.5018
Denmark,2011,446.0,56.2639,9.5018
Denmark,2012,642.0,56.2639,9.5018
Denmark,2013,630.0,56.2639,9.5018
Denmark,2014,1740.0,56.2639,9.5018
Denmark,2015,5103.0,56.2639,9.5018
Denmark,2016,2025.0,56.2639,9.5018
Denmark,2017,1440.0,56.2639,9.5018
Denmark,2018,4861.0,56.2639,9.5018
Denmark,2019,9833.0,56.2639,9.5018
Denmark,2020,32863.0,56.2639,9.5018
Denmark,2021,67171.0,56.2639,9.5018
Denmark,2022,59776.0,56.2639,9.5018
Denmark,2023,83791.0,56.2639,9.5018
EU27,2010,2665.0,52.0,13.0
EU27,2011,9745.0,52.0,13.0
